city,sna,sarea,tot_quantity,sbi_quantity,bemp,lat,lng,update_time_display,load_factor,status_color,scrape_time
New Taipei,YouBike2.0_三重商工,三重區,77,3,74,25.06868,121.48071,20260615T210902,3.896103896103896,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_二重國中,三重區,38,4,34,25.06596,121.48047,20260615T210504,10.526315789473683,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_自強溪尾街口,三重區,52,5,47,25.07822,121.49016,20260615T211403,9.615384615384617,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_捷運三和國中站(1號出口),三重區,95,1,94,25.07588,121.4878,20260615T204302,1.0526315789473684,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_永盛公園,三重區,45,1,44,25.07613,121.4843,20260615T211203,2.2222222222222223,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_捷運先嗇宮站(2號出口),三重區,64,30,32,25.04607,121.47099,20260615T210802,46.875,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_藍天大樓,三重區,30,10,20,25.0531,121.47017,20260615T210802,33.33333333333333,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中興北街175巷口,三重區,36,11,25,25.05595,121.4696,20260615T211004,30.555555555555557,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_同安公園,三重區,38,26,10,25.05732,121.49907,20260615T211403,68.42105263157895,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_東海高中,三重區,31,12,19,25.06484,121.47942,20260615T205802,38.70967741935484,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_二重國小,三重區,43,32,11,25.06598,121.47766,20260615T210403,74.4186046511628,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_新北市立圖書館三重分館,三重區,45,27,18,25.0661,121.49553,20260615T210902,60.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍門公園,三重區,48,26,20,25.07482,121.49848,20260615T211304,54.166666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_永福國小,三重區,33,13,20,25.07771,121.48032,20260615T211403,39.39393939393939,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_太陽公園,三重區,44,33,11,25.08645,121.4856,20260615T211203,75.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_捷運三重站(3號出口),三重區,33,9,24,25.05588,121.48474,20260615T211403,27.27272727272727,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_仁愛街112巷,三重區,26,11,15,25.07486,121.49488,20260615T204503,42.30769230769231,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_頂崁公園,三重區,24,14,10,25.05493,121.4756,20260615T204804,58.333333333333336,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_重陽國小,三重區,61,20,40,25.0662,121.48488,20260615T210505,32.78688524590164,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_力行地下停車場,三重區,20,1,19,25.07787,121.48287,20260615T211203,5.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_三重親水公園,三重區,18,13,4,25.09114,121.49039,20260615T210403,72.22222222222221,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中正北路193巷(愛買三重店),三重區,37,26,11,25.07136,121.47599,20260615T204302,70.27027027027027,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三重商工地下停車場,三重區,64,8,56,25.06966,121.48352,20260615T210902,12.5,green,2026-06-15 21:17:53
